ID,latitude,longitude
S01,45.03377457,-66.74014297
S02,45.01230771,-66.69940566
S03,45.00487376,-66.77039247
S04,44.99082686,-66.65869907
S05,44.98341778,-66.72966349
S06,44.9759642,-66.80061128
S07,44.96933204,-66.61802317
S08,44.9619478,-66.68896518
S09,44.95451909,-66.75989067
S10,44.94704593,-66.83079947
S11,44.94046386,-66.64829752
S12,44.93305997,-66.71920066
S13,44.92561166,-66.79008723
S14,44.9115869,-66.67854124
S15,44.9041634,-66.74940554
S16,44.88270117,-66.70875439
S17,44.75420832,-66.57542409
S18,44.75406674,-66.52491194
S19,44.7539028,-66.47440102
S20,44.75371651,-66.42389141
S21,44.71821549,-66.57560651
S22,44.71807468,-66.5251257
S23,44.71791155,-66.47464613
S24,44.71772609,-66.42416785
S25,44.68222245,-66.57578775
S26,44.68208242,-66.52533823
S27,44.68192008,-66.47488994
S28,44.68173545,-66.42444295
S29,44.6462292,-66.57596781
S30,44.64608994,-66.52554952
S31,44.64592841,-66.47513246
S32,44.6457446,-66.42471669